Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,100,5184.0,70,100.017409,OK
2,100,5880.0,69,90.011564,OK
3,100,7445.0,69,90.011777,OK
4,100,5728.0,69,90.011421,OK
5,100,6346.0,71,100.013573,OK
6,100,6810.0,70,80.012557,OK
7,100,5534.0,69,100.012542,OK
8,100,5696.0,70,90.012509,OK
9,100,6755.0,71,90.011588,OK
10,100,6693.0,70,100.012057,OK
11,100,7839.0,70,80.01239,OK
12,100,5587.0,69,100.012338,OK
13,100,7057.0,70,80.010701,OK
14,100,5830.0,69,90.011761,OK
15,100,6933.0,68,90.01141,OK
16,100,7232.0,69,100.013828,OK
17,100,7187.0,71,90.011616,OK
18,100,6355.0,70,100.014115,OK
19,100,7254.0,70,80.012951,OK
20,100,5655.0,69,100.012709,OK
21,100,6759.0,71,100.012208,OK
22,100,6240.0,70,90.014891,OK
23,100,5958.0,70,80.011941,OK
24,100,6512.0,72,100.011397,OK
25,100,5797.0,69,100.011983,OK
26,100,6731.0,71,90.01186,OK
27,100,7332.0,69,70.01296,OK
28,100,5709.0,69,100.01277,OK
29,100,7371.0,69,90.011512,OK
30,100,5553.0,70,70.011074,OK
31,100,6464.0,70,90.012131,OK
32,100,6447.0,69,90.011312,OK
33,100,6240.0,72,90.012319,OK
34,100,6002.0,70,100.012088,OK
35,100,6685.0,70,100.012208,OK
36,100,5490.0,73,90.011705,OK
37,100,7320.0,67,80.014146,OK
38,100,7599.0,70,90.011392,OK
39,100,6423.0,69,90.010905,OK
40,100,5918.0,70,90.013204,OK
41,100,7128.0,68,90.011273,OK
42,100,5860.0,71,100.012405,OK
43,100,6522.0,70,90.012345,OK
44,100,6764.0,68,100.011871,OK
45,100,6142.0,69,70.013241,OK
46,100,5722.0,70,100.011852,OK
47,100,6101.0,69,100.011643,OK
48,100,6765.0,69,100.012324,OK
49,100,5427.0,71,100.012034,OK
50,100,6263.0,71,90.012493,OK
51,100,5994.0,69,90.013878,OK
52,100,6035.0,71,100.013357,OK
53,100,7121.0,70,100.01058,OK
54,100,6202.0,70,90.011204,OK
55,100,8125.0,69,100.011525,OK
56,100,6444.0,71,100.013423,OK
57,100,7763.0,69,90.01099,OK
58,100,8109.0,69,80.011445,OK
59,100,7552.0,69,80.01148,OK
60,100,7688.0,68,90.01367,OK
61,100,5903.0,69,100.012766,OK
62,100,6471.0,70,80.011705,OK
63,100,5874.0,70,100.011152,OK
64,100,5251.0,70,100.011665,OK
65,100,6186.0,70,80.012181,OK
66,100,6323.0,69,100.011159,OK
67,100,5531.0,69,90.013821,OK
68,100,5711.0,71,100.012412,OK
69,100,6608.0,69,90.01266,OK
70,100,6388.0,71,100.01204,OK
71,100,5675.0,72,100.012308,OK
72,100,6731.0,71,90.012771,OK
73,100,7767.0,68,70.013811,OK
74,100,6525.0,71,100.013205,OK
75,100,5676.0,70,100.012714,OK
76,100,7639.0,69,80.012667,OK
77,100,5877.0,71,90.012285,OK
78,100,6577.0,70,100.011693,OK
79,100,6880.0,70,80.011277,OK
80,100,5456.0,71,100.012827,OK
81,100,5768.0,71,100.011982,OK
82,100,6315.0,69,90.012555,OK
83,100,6902.0,69,90.011511,OK
84,100,5817.0,70,100.01295,OK
85,100,6603.0,70,90.013762,OK
86,100,6461.0,70,100.011679,OK
87,100,7668.0,68,100.010984,OK
88,100,6233.0,71,90.013329,OK
89,100,5904.0,70,100.012369,OK
90,100,7045.0,69,100.012002,OK
91,100,6300.0,71,90.011274,OK
92,100,6251.0,70,80.014071,OK
93,100,6517.0,68,80.01105,OK
94,100,6897.0,69,80.012949,OK
95,100,6190.0,69,100.013083,OK
96,100,7108.0,69,80.012725,OK
97,100,6689.0,70,90.012099,OK
98,100,6551.0,69,100.012549,OK
99,100,8300.0,68,90.011519,OK
100,100,6281.0,69,90.012105,OK
