Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,140,4374.0,52,0.060031,OK
2,140,4674.0,49,0.059582,OK
3,140,6035.0,51,0.066998,OK
4,140,4765.0,51,0.061925,OK
5,140,4860.0,52,0.065393,OK
6,140,5370.0,50,0.079758,OK
7,140,4462.0,51,0.058939,OK
8,140,4835.0,50,0.069973,OK
9,140,5360.0,52,0.069449,OK
10,140,5427.0,48,0.069726,OK
11,140,6169.0,48,0.075403,OK
12,140,4542.0,53,0.058813,OK
13,140,5535.0,47,0.074748,OK
14,140,4559.0,50,0.060248,OK
15,140,5483.0,49,0.07545,OK
16,140,5741.0,50,0.071992,OK
17,140,5483.0,50,0.062032,OK
18,140,5011.0,52,0.05879,OK
19,140,5829.0,49,0.07304,OK
20,140,4750.0,49,0.067701,OK
21,140,5254.0,48,0.072969,OK
22,140,5124.0,49,0.062862,OK
23,140,4721.0,51,0.088302,OK
24,140,5170.0,50,0.064841,OK
25,140,4797.0,53,0.058605,OK
26,140,5309.0,51,0.062516,OK
27,140,5931.0,51,0.100426,OK
28,140,4492.0,50,0.064213,OK
29,140,5825.0,49,0.073933,OK
30,140,4755.0,50,0.064789,OK
31,140,5395.0,49,0.075549,OK
32,140,5166.0,50,0.08435,OK
33,140,5060.0,51,0.067325,OK
34,140,4950.0,49,0.06859,OK
35,140,5291.0,48,0.066135,OK
36,140,4685.0,48,0.059752,OK
37,140,5905.0,49,0.073253,OK
38,140,6278.0,49,0.064571,OK
39,140,5261.0,50,0.06579,OK
40,140,5004.0,51,0.057174,OK
41,140,5973.0,49,0.060724,OK
42,140,4783.0,52,0.061272,OK
43,140,5407.0,50,0.068531,OK
44,140,5539.0,51,0.058496,OK
45,140,5101.0,49,0.068725,OK
46,140,4692.0,51,0.056825,OK
47,140,4879.0,51,0.068334,OK
48,140,5342.0,50,0.060688,OK
49,140,4525.0,52,0.081755,OK
50,140,5160.0,48,0.069397,OK
51,140,4832.0,51,0.056421,OK
52,140,4913.0,49,0.066799,OK
53,140,5937.0,48,0.098101,OK
54,140,5161.0,49,0.065603,OK
55,140,6274.0,49,0.083097,OK
56,140,5500.0,51,0.061419,OK
57,140,6171.0,50,0.070055,OK
58,140,6175.0,50,0.070939,OK
59,140,6565.0,49,0.063559,OK
60,140,6104.0,49,0.069411,OK
61,140,4577.0,51,0.063022,OK
62,140,5081.0,50,0.080844,OK
63,140,4578.0,48,0.062102,OK
64,140,4344.0,49,0.058648,OK
65,140,4872.0,52,0.062043,OK
66,140,5347.0,49,0.063404,OK
67,140,4607.0,51,0.063897,OK
68,140,4791.0,54,0.065274,OK
69,140,5247.0,49,0.078685,OK
70,140,5248.0,49,0.07323,OK
71,140,4538.0,50,0.060964,OK
72,140,5360.0,50,0.068997,OK
73,140,6150.0,51,0.101137,OK
74,140,5307.0,51,0.084839,OK
75,140,4500.0,48,0.079763,OK
76,140,6006.0,51,0.074879,OK
77,140,4799.0,48,0.074336,OK
78,140,5366.0,49,0.062831,OK
79,140,5579.0,50,0.088888,OK
80,140,4522.0,52,0.064285,OK
81,140,4634.0,53,0.063473,OK
82,140,5085.0,48,0.068525,OK
83,140,5621.0,50,0.080115,OK
84,140,4766.0,49,0.066743,OK
85,140,5432.0,49,0.071082,OK
86,140,5526.0,51,0.067457,OK
87,140,6026.0,51,0.082731,OK
88,140,5115.0,51,0.061126,OK
89,140,4753.0,50,0.061607,OK
90,140,5666.0,50,0.074778,OK
91,140,5301.0,51,0.065977,OK
92,140,5046.0,50,0.071201,OK
93,140,4985.0,49,0.066087,OK
94,140,5738.0,51,0.08574,OK
95,140,5002.0,50,0.057421,OK
96,140,5611.0,51,0.068653,OK
97,140,5469.0,51,0.075767,OK
98,140,5153.0,49,0.06203,OK
99,140,6593.0,48,0.070198,OK
100,140,4971.0,52,0.067841,OK
