Dataset,Capacity,Total_Cost,Vehicles_Used,Num_Depots,Num_Customers,Time_Seconds,Status
1,180,4153.66,39,10,100,0.001923,OK
2,180,4757.83,39,10,100,0.001832,OK
3,180,5813.83,37,10,100,0.002113,OK
4,180,5084.39,40,10,100,0.002094,OK
5,180,5105.0,41,10,100,0.001995,OK
6,180,5812.38,38,10,100,0.002001,OK
7,180,4665.62,39,10,100,0.001868,OK
8,180,4757.66,40,10,100,0.002176,OK
9,180,5377.83,39,10,100,0.002168,OK
10,180,5532.9,38,10,100,0.002031,OK
11,180,5961.7,38,10,100,0.002226,OK
12,180,4479.57,38,10,100,0.002074,OK
13,180,5779.13,37,10,100,0.002064,OK
14,180,5021.73,39,10,100,0.001951,OK
15,180,5206.53,39,10,100,0.002177,OK
16,180,5325.52,38,10,100,0.00195,OK
17,180,5766.41,39,10,100,0.001943,OK
18,180,5118.72,37,10,100,0.001863,OK
19,180,5978.35,35,10,100,0.002054,OK
20,180,4754.12,39,10,100,0.002072,OK
21,180,5393.84,38,10,100,0.002141,OK
22,180,4978.32,40,10,100,0.002053,OK
23,180,5292.12,40,10,100,0.002056,OK
24,180,5369.17,41,10,100,0.001949,OK
25,180,4428.53,38,10,100,0.00201,OK
26,180,5321.07,38,10,100,0.001971,OK
27,180,6008.62,39,10,100,0.00194,OK
28,180,4549.17,39,10,100,0.001954,OK
29,180,5793.98,40,10,100,0.001989,OK
30,180,4995.91,37,10,100,0.001797,OK
31,180,5194.15,38,10,100,0.001868,OK
32,180,5623.26,40,10,100,0.001972,OK
33,180,5247.56,39,10,100,0.002054,OK
34,180,5004.55,39,10,100,0.002173,OK
35,180,5166.82,37,10,100,0.001823,OK
36,180,4894.28,39,10,100,0.00198,OK
37,180,5615.23,38,10,100,0.002293,OK
38,180,6413.79,39,10,100,0.002162,OK
39,180,5728.09,37,10,100,0.002049,OK
40,180,4860.92,39,10,100,0.001863,OK
41,180,5846.88,38,10,100,0.001993,OK
42,180,4929.46,39,10,100,0.001857,OK
43,180,5055.76,37,10,100,0.001945,OK
44,180,5749.43,39,10,100,0.001896,OK
45,180,5166.81,38,10,100,0.002043,OK
46,180,4609.52,39,10,100,0.00194,OK
47,180,4862.67,39,10,100,0.002226,OK
48,180,5403.93,39,10,100,0.001802,OK
49,180,4553.35,39,10,100,0.001888,OK
50,180,5054.73,38,10,100,0.002444,OK
51,180,5099.73,39,10,100,0.001922,OK
52,180,4935.61,38,10,100,0.002019,OK
53,180,6378.83,38,10,100,0.002319,OK
54,180,5530.47,40,10,100,0.001891,OK
55,180,6290.67,38,10,100,0.002219,OK
56,180,5279.88,38,10,100,0.001856,OK
57,180,6407.05,39,10,100,0.001958,OK
58,180,6266.17,37,10,100,0.001976,OK
59,180,6573.33,38,10,100,0.001892,OK
60,180,6503.55,40,10,100,0.001889,OK
61,180,4988.12,38,10,100,0.002129,OK
62,180,5149.98,39,10,100,0.00213,OK
63,180,5159.89,41,10,100,0.001999,OK
64,180,4445.88,37,10,100,0.001947,OK
65,180,5095.98,39,10,100,0.00194,OK
66,180,5136.65,37,10,100,0.001906,OK
67,180,4664.02,38,10,100,0.001974,OK
68,180,4414.04,38,10,100,0.001863,OK
69,180,5389.31,39,10,100,0.002106,OK
70,180,4826.59,37,10,100,0.002017,OK
71,180,4972.98,39,10,100,0.001942,OK
72,180,5965.43,41,10,100,0.001823,OK
73,180,6138.47,39,10,100,0.00217,OK
74,180,5370.09,38,10,100,0.002054,OK
75,180,4518.59,39,10,100,0.001848,OK
76,180,5911.62,38,10,100,0.002045,OK
77,180,5175.41,40,10,100,0.002286,OK
78,180,5686.7,40,10,100,0.002169,OK
79,180,5790.75,40,10,100,0.001953,OK
80,180,4571.03,39,10,100,0.001948,OK
81,180,4670.48,37,10,100,0.002014,OK
82,180,5115.42,38,10,100,0.002123,OK
83,180,5840.13,38,10,100,0.0021,OK
84,180,4837.94,39,10,100,0.001915,OK
85,180,5561.25,38,10,100,0.00201,OK
86,180,5580.88,40,10,100,0.001938,OK
87,180,6080.2,39,10,100,0.002098,OK
88,180,5488.52,39,10,100,0.001884,OK
89,180,4835.59,40,10,100,0.001856,OK
90,180,5772.07,40,10,100,0.00221,OK
91,180,5126.29,38,10,100,0.002265,OK
92,180,4946.55,38,10,100,0.002,OK
93,180,5254.17,39,10,100,0.002117,OK
94,180,5410.05,38,10,100,0.00212,OK
95,180,4958.54,39,10,100,0.002008,OK
96,180,5639.04,39,10,100,0.00201,OK
97,180,5499.6,37,10,100,0.001902,OK
98,180,5281.79,39,10,100,0.001821,OK
99,180,6448.6,39,10,100,0.001978,OK
100,180,5147.65,40,10,100,0.00192,OK
